source,productid,mobilename,userid,review,rating,reviewdate
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Bapin Nayak,...Camera quality wow I love it,,5 days ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Subham Kumar,...The camera of Oneplus 11r is taking much better photos than this.,,3 days ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Ayan Lone,...Great device with great camera ❤️❤️,,9 months ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Flipkart Customer,"...Great phone great experience,  excellent camera",,5 days ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Veera Raja Satyavarapu,...What a phone that is AppleCamera superb,,1 day ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Chetan G,...almost everything.Pros:Build QualityPro Camera is top notch on both outdoor and indoor.Very good battery life.120 hertz display,,2 days ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",lucky Lucky,...Best camera,,6 months ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Flipkart Customer,...The best see the camera samples,,7 days ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Tarun Sharma,...Amazing camera quality best software experience,,2 days ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Bishal Khatri,"...Its camera quality, video quality and battery backup are very good.",,3 days ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Prakhar Kumar,...good battery and this device justifies it.Camera is top notch and UI is buttery smooth.Cheers Apple!,,5 months ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Subhasis Pattnayak,...Excellent camera and design,,11 months ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Biplab Gorain,...Really Nice phone Natural Titanium color too good and camera mind-blowing performance too good.,,5 months ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Dipesh Bhaliya,...Great display and cameras...been using 15,,6 days ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Debakrupa Pani,...Best photo I ever seen in my life,,5 days ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Praveen Sebastian,...Camera quality display and overall good,,4 months ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Chaitanya Miriyampalli,...Pros :1. Display2. Video Recording and Photos are stunning,,5 months ago
flipkart,05ad8e674782a,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)",Anonymous,,,
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Romy Sen,...Camera quality very very BAD BAD BAD BAD BAD BAD BAD 😈😈😈😈rubbish 😈😈😈😈😈Compare to 32 m,,2 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",lakhan Joshi,"...Phone is amazing no doubt,, but camera is average, bettery super.",,2 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Pravin Shigavan,...Camera quality dull aaheSound quality is lowWhile taking video,,4 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Flipkart Customer,...Mobile is very good camera Quality is awesome,,Today
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Senthil Kumar,...Back camera ok but front camera clarity not ok.Battery capacity good.,,3 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Akshay Thakare,...writing this review after use of 3 months.Camera quality is good under low light.Battery lasts for 2 days for normal use,,17 days ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Bhawna Ahuja,...Camera quality is soo poor..not worthy,,13 days ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Sanjuuu Rathod,"...Camera is poor low quality picture, and camera is not working as expected",,1 month ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Preeti  Gangwar,...Rear camera is superb.battery backup is too good.ai eraser tool,,3 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Flipkart Customer,...Direct phone video call worst experience and camera clarity very poor.,,4 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Yogesh  Rasane,...Sound Quality very badCamera quality is also not goodNot good at this priceNot recommended to,,1 month ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Not Anymore,...Both front and back camera are amazing.It takes amazing pictures. And the battery,,4 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Srikanth Katkam,...Camera is AverageBattery I think it's not 7300mahafter normal,,4 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",ConsultMe Corporation’s,...Camera Quality is too good,,3 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Nujaim Ansari,...Very good performanceCamera quality is good,,4 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Rajini Sama,...Nice mobile very good feutures camera super,,3 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Sharath Bharadwaj,"...use of 10 days,Battery is really good.Camera is ok, not so great.Display is very nice.Performance is really",,1 month ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Flipkart Customer,...awesomePerformance is also good as of nowCamera is also having good clarity,,2 months ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Flipkart Customer,...Camera picture are not good.but performance is excellent,,5 days ago
flipkart,c2634fd4daeb9,"vivo T4 5G (Emerald Blaze, 256 GB)",Vijay Kashyap,...Camera quality good,,4 days ago
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",Flipkart Customer,...Lag-free camera zoom up to 5x,,3 months ago
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",Arman Khan,...Performance poorDisplay poorCamera poorWaste money,,4 days ago
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",Dinesh  kumar,...mobile phone...Type of normal user phoneCamera is not good.But good one is light weight.,,18 days ago
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",Piyush Kumar,...Overall good camera quality,,5 days ago
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",Abhishek  Choudhary,...Good but camera quality is like 5year ago 8k mobile,,3 months ago
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",Vijay  Dhyani,...very thing is good except Camera.,,3 months ago
flipkart,62b2e62fbb43e,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",Flipkart Customer,...Selfie camera is reliable for video calls and selfies,,3 months ago
flipkart,e960199e26f23,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",Navneet  Maurya,...that this device is such a masterpiece.1. Camera 4.5/5(If you're buying this just because of camera,,18 days ago
flipkart,e960199e26f23,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",Akash Ghosh,...Cameras are good in daylight but average in low light but 4k 60fps video mode is so amazing.,,4 months ago
flipkart,e960199e26f23,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",Swapnil Dethe,...am using this phone from 2 months now.Camera quality is just awesome.Unbeatable AI features. Wonderful display,,1 month ago
flipkart,e960199e26f23,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",Himshweta Guleria,"...The camera captures great photos, ensuring memories are preserved beautifully with detailed clarity.",,3 days ago
flipkart,e960199e26f23,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",Bhimraj Pikwane,...Camera quality average.. good performance... Battery drain very,,2 months ago
flipkart,e960199e26f23,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",Laxman  Bhatra,"...Cameras quality is superb,except night photograph👌Battery is average, 1 day backup normal usag",,7 days ago
flipkart,e960199e26f23,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",sahil kumar,...Camera quality greatDisplay awesome,,4 months ago
flipkart,ce4bb3f55cc2f,"Apple iPhone 16 (Teal, 128 GB)",Lalu Kumar,...Camera quality is excellentBattery backup is durablePerformence is,,1 month ago
flipkart,ce4bb3f55cc2f,"Apple iPhone 16 (Teal, 128 GB)",Aman Raj,...BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH.,,3 months ago
flipkart,ab5a4b09b6ccc,"realme P3x 5G (Midnight Blue, 128 GB)",Pawan Pawar,"...Everything is good but, display and camera is little bit poor.",,6 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",ADHIL  mujeeb,"...Camera is Amazing, OS is superb, only downside is the speakers -you can use wavelet app to adjust that quality.",,3 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Prashant,...Camera - the main Camera is awesome but the telephoto is not that much clear and for video the 50mp telephoto lacks 4k .,,3 days ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",SEKH EZAZ,...Bast camera qualityBast mobile Phone,,4 days ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Sanjeet Prakash,"...The camera quality is surprisingly good, capturing clear and vibrant photos even in low light.",,4 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Flipkart Customer,"...but needs more improvement in the camera, ultra wide useless.",,25 days ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Nripen Bharali,...Camera quality is good and wide camera is unexpectedly good.,,4 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Rishabh Gupta,...The phone feels great in hand and has an excellent camera.,,3 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Flipkart Customer,"...Overall it's a good phone but the camera output is not as expected, picture edges are very smudgy!",,4 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Flipkart Customer,...And the camera is good but the processing of the pictures is excellent The portrait is average and the ultra wide is okok,,4 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",vivek roy,...The phone is very smooth and the camera surprisingly delivers crisp and clear pictures.,,6 days ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",KRISHNMOHAN MAHTO,...Premium qualityCamera qualityStyle buildPokei photo,,4 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Sarath V Nair,"...Very good phone normal use..not gameing, avarage camera.. but useful",,2 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Jeet Gurung,"...Camera's are awesome 💯 i really love it, know one can't provide this type of camera quality",,6 days ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Gargi Middya,...Just amezing phone camera quality wow �,,4 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Abdul Thoufiq,...1. Camera is good in well lit conditions.It struggles in low light.2. Screen is,,4 days ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Tapan Bhadviya,"...The camera is okay, not comparable to my previous Realme GT phone.",,4 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Shib Nath Tudu,...After using one month I rate this phone..1) Camera - 4.5/5.(Camera is really good. Picture is very,,2 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Pramod singh Narwariya,...The phone is great the camera is great but it's suffer little in night mode,,4 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Hemant  Sharma,...The phone is quite good The camera is good.But the battery is quite low side and the,,2 months ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Flipkart Customer,...LOVED THE CAMERA QUALITY.and i even compared it to my friend who,,1 month ago
flipkart,46a119f176627,"CMF by Nothing Phone 2 Pro (White, 256 GB)",Anonymous,,,
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Anand  maurya,...smartphone performanceOutstanding lookFadu's picture and camera qualityAI editing features,,1 month ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Amitoshkr Choubey,...review i have just purchased this phoneCamera rear 3.9/5 and front 4.2/5Display 4.1/5Battery 4.7/5Design 4.5/5,,6 days ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Basirul sekh,...The phone is awesome just the camera could be a little bit improved but otherwise the phone is a beast,,4 months ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Flipkart Customer,...But  cmf phone 2 pro is good choice in aspect of camera qualit,,5 months ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",P Dhananjaya Rao,"...Camera quality ok ok ,, colors stable and resoulution is not great ,, pixeling quality photo , front camera is good",,22 days ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Aman Raj,...Everything is superb but camera quality I'm managing,,1 month ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Flipkart Customer,...: 5/5 UltimatePerformance : 3/5 So SoCamera : 3/5 rating decreased coz of front cameraDisplay : 3/5 would be betterIP rating :,,3 days ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Subhayu Ghosh,...Just awesomeCamera : 4.3/5Display 4.5/5Performance 4.5/5Vapour cooling,,1 month ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",PAVAN MEEMROT,...Osm phone 🤳 best camera qualit,,2 months ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Akshay J. Bhore,"...series. So, the performance is top notch.The camera quality is also good.The calls and wifi works really well. No",,8 days ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",YOGENDRA MAURYA MAURYA,...Very good phone only camera quality is average.Runs smoothly. Battery lasts for upto 1,,3 months ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Ashik Alam,...But camera decent 50 mp camera work nice but 2x optical zoom very bad no details,,4 months ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Uday Salvi,"...The 50MP camera takes clear photos, and AI tools help remove unwanted objects from your images.",,4 months ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Flipkart Customer,...one of the best value for money phones.Camera: awesomeBattery: easily lasts 9 hours of usage.Display:,,1 month ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Ruturaj Panigrahi,...This product is very very cool 😊Camera is awesome ��Performance is also lag fre,,4 months ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Flipkart Customer,"...Using it from July nothing sort of problem, camera quality good 👍",,22 days ago
flipkart,6f2ebf6d205cf,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",MARINENI PRAVEEN KUMAR  PRAVEEN KUMAR,...Camera pixels count is less .Battery consumption is more at idle .Display,,2 months ago
